,dt,preco
0,2024-02-05,"79,30"
1,2024-02-02,"79,54"
2,2024-02-01,"82,20"
3,2024-01-31,"82,98"
4,2024-01-30,"84,14"
5,2024-01-29,"83,99"
6,2024-01-26,"83,34"
7,2024-01-25,"82,33"
8,2024-01-24,"82,15"
9,2024-01-23,"82,04"
10,2024-01-22,"81,70"
11,2024-01-19,"80,71"
12,2024-01-18,"81,04"
13,2024-01-17,"78,88"
14,2024-01-16,"80,15"
15,2024-01-15,"79,76"
16,2024-01-12,"79,89"
17,2024-01-11,"80,21"
18,2024-01-10,"78,46"
19,2024-01-09,"77,97"
20,2024-01-08,"75,47"
21,2024-01-05,"78,31"
22,2024-01-04,"75,79"
23,2024-01-03,"77,18"
24,2024-01-02,"76,24"
25,2023-12-29,"77,69"
26,2023-12-28,"79,04"
27,2023-12-27,"80,97"
28,2023-12-26,"80,23"
29,2023-12-22,"80,23"
30,2023-12-21,"80,73"
31,2023-12-20,"81,10"
32,2023-12-19,"79,82"
33,2023-12-18,"78,89"
34,2023-12-15,"76,84"
35,2023-12-14,"77,05"
36,2023-12-13,"74,14"
37,2023-12-12,"74,11"
38,2023-12-11,"75,75"
39,2023-12-08,"75,94"
40,2023-12-07,"74,21"
41,2023-12-06,"74,33"
42,2023-12-05,"77,27"
43,2023-12-04,"78,16"
44,2023-12-01,"78,72"
45,2023-11-30,"81,72"
46,2023-11-29,"82,98"
47,2023-11-28,"81,66"
48,2023-11-27,"79,49"
49,2023-11-24,"79,82"
50,2023-11-23,"80,85"
51,2023-11-22,"81,76"
52,2023-11-21,"82,42"
53,2023-11-20,"83,25"
54,2023-11-17,"81,22"
55,2023-11-16,"77,73"
56,2023-11-15,"82,40"
57,2023-11-14,"84,20"
58,2023-11-13,"84,09"
59,2023-11-10,"83,66"
60,2023-11-09,"81,74"
61,2023-11-08,"81,46"
62,2023-11-07,"83,43"
63,2023-11-06,"87,31"
64,2023-10-30,"90,73"
65,2023-10-27,"90,73"
66,2023-10-26,"88,45"
67,2023-10-25,"90,14"
68,2023-10-24,"88,00"
69,2023-10-23,"91,88"
70,2023-10-20,"93,72"
71,2023-10-19,"93,12"
72,2023-10-18,"91,99"
73,2023-10-17,"92,52"
74,2023-10-16,"90,99"
75,2023-10-13,"94,33"
76,2023-10-12,"88,40"
77,2023-10-11,"87,58"
78,2023-10-10,"90,70"
79,2023-10-09,"91,37"
80,2023-10-06,"87,86"
81,2023-10-05,"88,28"
82,2023-10-04,"89,83"
83,2023-10-03,"94,46"
84,2023-10-02,"91,21"
85,2023-09-29,"95,86"
86,2023-09-28,"96,55"
87,2023-09-27,"97,10"
88,2023-09-26,"94,46"
89,2023-09-25,"94,01"
90,2023-09-22,"93,99"
91,2023-09-21,"93,70"
92,2023-09-20,"94,56"
93,2023-09-19,"96,11"
94,2023-09-18,"95,95"
95,2023-09-15,"95,55"
96,2023-09-14,"95,20"
97,2023-09-13,"93,04"
98,2023-09-12,"93,58"
99,2023-09-11,"91,97"
100,2023-09-08,"91,85"
101,2023-09-07,"91,16"
102,2023-09-06,"91,79"
103,2023-09-05,"91,25"
104,2023-09-04,"90,42"
105,2023-08-31,"87,29"
106,2023-08-30,"86,62"
107,2023-08-29,"86,37"
108,2023-08-25,"85,42"
109,2023-08-24,"84,07"
110,2023-08-23,"83,94"
111,2023-08-22,"84,70"
112,2023-08-21,"85,44"
113,2023-08-18,"85,92"
114,2023-08-17,"85,24"
115,2023-08-16,"84,49"
116,2023-08-15,"86,28"
117,2023-08-14,"87,40"
118,2023-08-11,"87,93"
119,2023-08-10,"87,44"
120,2023-08-09,"89,31"
121,2023-08-08,"88,00"
122,2023-08-07,"86,47"
123,2023-08-04,"87,38"
124,2023-08-03,"86,19"
125,2023-08-02,"84,01"
126,2023-08-01,"85,34"
127,2023-07-31,"85,22"
128,2023-07-28,"84,49"
129,2023-07-27,"84,28"
130,2023-07-26,"82,98"
131,2023-07-25,"83,46"
132,2023-07-24,"82,53"
133,2023-07-21,"81,06"
134,2023-07-20,"79,62"
135,2023-07-19,"79,38"
136,2023-07-18,"79,54"
137,2023-07-17,"77,80"
138,2023-07-15,"77,80"
139,2023-07-14,"79,90"
140,2023-07-13,"81,31"
141,2023-07-12,"80,35"
142,2023-07-11,"79,54"
143,2023-07-10,"77,83"
144,2023-07-08,"77,83"
145,2023-07-07,"78,77"
146,2023-07-06,"76,72"
147,2023-07-05,"76,74"
148,2023-07-04,"76,23"
149,2023-07-03,"74,52"
150,2023-06-30,"74,51"
151,2023-06-29,"73,86"
152,2023-06-28,"73,64"
153,2023-06-27,"71,88"
154,2023-06-26,"73,86"
155,2023-06-23,"73,56"
156,2023-06-22,"73,93"
157,2023-06-21,"76,92"
158,2023-06-20,"75,79"
159,2023-06-19,"76,09"
160,2023-06-16,"76,76"
161,2023-06-15,"75,75"
162,2023-06-14,"73,39"
163,2023-06-13,"74,24"
164,2023-06-12,"71,80"
165,2023-06-09,"74,74"
166,2023-06-08,"75,88"
167,2023-06-07,"76,85"
168,2023-06-06,"76,22"
169,2023-06-05,"76,61"
170,2023-06-02,"76,00"
171,2023-06-01,"74,18"
172,2023-05-31,"71,98"
173,2023-05-30,"73,38"
174,2023-05-26,"76,33"
175,2023-05-25,"75,66"
176,2023-05-24,"77,99"
177,2023-05-23,"76,66"
178,2023-05-22,"75,77"
179,2023-05-19,"75,42"
180,2023-05-18,"75,75"
181,2023-05-17,"76,98"
182,2023-05-16,"75,15"
183,2023-05-15,"75,46"
184,2023-05-12,"74,54"
185,2023-05-11,"75,32"
186,2023-05-10,"76,70"
